,code,2nd_code,std_price,name
984,A219480,10,22420,KODEX 미국S&P500선물(H)
985,A219900,10,5555,KINDEX 중국본토CSI300레버리지(합성)
986,A220130,10,6105,SOL 중국본토 중소형 CSI500(합성 H)
987,A223190,10,10395,KODEX 200가치저변동
988,A225030,10,3580,TIGER 미국S&P500선물인버스(H)
989,A225040,10,36575,TIGER 미국S&P500레버리지(합성 H)
990,A225050,10,11085,TIGER 유로스탁스레버리지(합성 H)
991,A225060,10,13575,TIGER 이머징마켓MSCI레버리지(합성 H)
992,A225130,10,17950,KINDEX 골드선물 레버리지(합성 H)
993,A225800,10,9540,KOSEF 미국달러선물레버리지
994,A226320,1,20100,잇츠한불
995,A226380,10,8280,KINDEX Fn성장소비주도주
996,A226490,10,29580,KODEX 코스피
997,A226980,10,13955,KODEX 200 중소형
998,A227540,10,21775,TIGER 200 헬스케어
999,A227550,10,6095,TIGER 200 산업재
1000,A227560,10,10335,TIGER 200 생활소비재
1001,A227570,10,12050,TIGER 우량가치
1002,A227830,10,29995,ARIRANG 코스피
1003,A227840,1,12350,현대코퍼레이션홀딩스
1004,A228790,10,3040,TIGER 화장품
1005,A228800,10,5235,TIGER 여행레저
1006,A228810,10,10645,TIGER 미디어컨텐츠
1007,A228820,10,10490,TIGER KTOP30
1008,A229200,10,14610,KODEX 코스닥 150
1009,A229640,1,8040,LS전선아시아
1010,A229720,10,21185,KODEX KTOP30
1011,A230480,10,7810,KOSEF 미국달러선물인버스2X
1012,A232080,10,14815,TIGER 코스닥150
1013,A233160,10,16365,TIGER 코스닥150 레버리지
1014,A233740,10,15360,KODEX 코스닥150 레버리지
1015,A234080,1,14550,JW생명과학
1016,A234310,10,15020,KBSTAR V&S셀렉트밸류
1017,A236350,10,26815,TIGER 인도니프티50레버리지(합성)
1018,A237350,10,29610,KODEX 코스피100
1019,A237370,10,11865,KODEX 배당성장채권혼합
1020,A237440,10,9590,TIGER 경기방어채권혼합
1021,A238670,10,10910,ARIRANG 스마트베타Quality채권혼합
1022,A238720,10,19230,KINDEX 일본Nikkei225(H)
1023,A239660,10,108490,ARIRANG 우량회사채50 1년
1024,A241180,10,18075,TIGER 일본니케이225
1025,A241390,10,12130,KBSTAR V&S셀렉트밸류채권혼합
1026,A241560,1,43050,두산밥캣
1027,A241590,1,16800,화승엔터프라이즈
1028,A243880,10,54045,TIGER 200IT레버리지
1029,A243890,10,18440,TIGER 200에너지화학레버리지
1030,A244580,10,12280,KODEX 바이오
1031,A244620,10,12810,KODEX 모멘텀Plus
1032,A244660,10,10375,KODEX 퀄리티Plus
1033,A244670,10,9520,KODEX 밸류Plus
1034,A244920,1,11550,에이플러스에셋
1035,A245340,10,21635,TIGER 미국다우존스30
1036,A245350,10,13280,TIGER 유로스탁스배당30
1037,A245360,10,11260,TIGER 차이나HSCEI
1038,A245710,10,23220,KINDEX 베트남VN30(합성)
1039,A248070,1,25250,솔루엠
1040,A248170,1,42750,샘표식품
1041,A248260,10,11395,TIGER 일본TOPIX헬스케어(합성)
1042,A248270,10,18620,TIGER S&P글로벌헬스케어(합성)
1043,A249420,1,15050,일동제약
1044,A250730,10,10375,KBSTAR 차이나HSCEI(H)
1045,A250780,10,4365,TIGER 코스닥150선물인버스
1046,A251270,1,135000,넷마블
1047,A251340,10,4255,KODEX 코스닥150선물인버스
1048,A251350,10,21320,KODEX 선진국MSCI World
1049,A251590,10,11365,ARIRANG 고배당저변동50
1050,A251600,10,11070,ARIRANG 고배당주채권혼합
1051,A251890,10,14175,KINDEX 코스닥(합성)
1052,A252000,10,12370,TIGER 200동일가중
1053,A252400,10,20605,KBSTAR 200선물레버리지
1054,A252410,10,5355,KBSTAR 200선물인버스
1055,A252420,10,2325,KBSTAR 200선물인버스2X
1056,A252650,10,12120,KODEX 200동일가중
1057,A252670,10,2320,KODEX 200선물인버스2X
1058,A252710,10,2420,TIGER 200선물인버스2X
1059,A252720,10,13775,KBSTAR 모멘텀밸류
1060,A252730,10,15730,KBSTAR 모멘텀로우볼
1061,A253150,10,40870,ARIRANG 200선물레버리지
1062,A253160,10,4640,ARIRANG 200선물인버스2X
1063,A253230,10,2295,KOSEF 200선물인버스2X
