,종목명,현재가,거래량,자본금(백만원),자본총계(백만원),영업이익증가율,영업이익(원),매출액영업이익률,EBITDA(백만원),시가총액,배당수익률,부채비율,이자보상비율,결산년월,PBR,PSR,PCR,PER,ROE,PBR_rank,PSR_rank,PCR_rank,PER_rank,DIV_rank,rank_tot
357,F&F홀딩스,41150.0,194229.0,19557.0,2784857,-18.68000030517578,122578000000.0,14.630000114440918,158145.0,16096.0,2.430000066757202,48.22999954223633,83.26000213623047,202012,1.7301547258661285,0.6882191597538132,3.960920204061989,0.30000001192092896,16.59000015258789,354.0,253.0,159.0,136.0,95.0,902.0
84,SG글로벌,1985.0,102262.0,22482.0,61871,0.5099999904632568,4795000000.0,5.639999866485596,9038.0,893.0,0.0,57.27000045776367,5.800000190734863,202012,0.6928446771378709,1.0900604063701262,13.14569536423841,0.0,-1.7899999618530273,110.0,344.0,380.0,68.0,444.0,902.0
848,엔에스쇼핑,13050.0,78761.0,16848.0,491148,2.2100000381469727,29368000000.0,5.449999809265137,47071.0,4397.0,1.1399999856948853,174.5399932861328,3.3499999046325684,202012,1.1170076179063597,0.8128815248536191,8.764271323035594,0.0,1.5299999713897705,238.0,277.0,320.0,68.0,219.0,903.0
510,KG동부제철,11200.0,451848.0,500044.0,1196140,219.8000030517578,110778000000.0,4.730000019073486,168929.0,11201.0,0.8899999856948853,132.11000061035156,2.6700000762939453,202012,1.0678871090770403,0.4206888780377869,6.572769953051643,9.149999618530273,7.179999828338623,226.0,157.0,264.0,257.0,248.0,904.0
1043,일동제약,15100.0,79116.0,23803.0,515232,0.0,6632000000.0,1.1799999475479126,34295.0,3594.0,0.0,137.7899932861328,1.4199999570846558,202012,1.4335896705591948,0.6412706501889838,7.603222557905338,0.0,-5.130000114440918,305.0,238.0,294.0,68.0,444.0,905.0
1119,삼양패키징,23000.0,54057.0,71049.0,340185,25.690000534057617,52266000000.0,14.220000267028809,80696.0,3268.0,4.340000152587891,83.43000030517578,7.539999961853027,202012,1.040959493097986,0.8584972565413759,3.8237738985868663,8.930000305175781,10.880000114440918,220.0,286.0,154.0,250.5,25.0,910.5
432,S-Oil,96700.0,134001.0,281456.0,19067822,0.0,-1099146000000.0,-6.53000020980835,4294499412.0,108868.0,0.0,176.1199951171875,0.0,202012,1.7514625708645017,0.5572298702870281,-25.75919019712307,12.430000305175781,-13.069999694824219,357.0,216.0,28.0,310.5,444.0,911.5
729,롯데렌탈,39100.0,124936.0,183170.0,2195399,27.030000686645508,159948000000.0,7.099999904632568,1098683.0,14324.0,0.0,657.3099975585938,1.6699999570846558,202012,1.5326721806279644,0.48900672853247956,1.0191580867978627,15.069999694824219,6.730000019073486,326.0,186.0,59.0,341.0,444.0,912.0
458,DB,1000.0,777950.0,100586.0,107078,45.31999969482422,26874000000.0,9.859999656677246,34877.0,2012.0,0.0,50.619998931884766,4.690000057220459,202012,0.532197977647685,0.6896551724137931,5.154639175257732,23.25,2.390000104904175,53.0,255.0,204.5,402.0,444.0,914.5
641,KSS해운,11450.0,91798.0,11592.0,238635,-3.869999885559082,50731000000.0,22.43000030517578,94599.0,2655.0,2.619999885559082,297.80999755859375,3.069999933242798,202012,0.8988146636313682,1.0438508524022245,2.7425149700598803,10.449999809265137,4.78000020980835,187.0,336.0,118.0,276.0,85.0,917.0
