,code,2nd_code,std_price,name
64,A013720,1,4500,CBI
65,A013810,1,5470,스페코
66,A013990,1,5510,아가방컴퍼니
67,A014100,1,6200,메디앙스
68,A014190,1,3920,원익큐브
69,A014200,1,2120,광림
70,A014470,1,2520,부방
71,A014570,1,8750,고려제약
72,A014620,1,8200,성광벤드
73,A014940,1,3960,오리엔탈정공
74,A014970,1,7070,삼륭물산
75,A015710,1,6490,코콤
76,A015750,1,5770,성우하이텍
77,A016100,1,3735,리더스코스메틱
78,A016250,1,69800,SGC이테크건설
79,A016600,1,692,큐캐피탈
80,A016670,1,973,인피니티엔티
81,A016790,1,15300,현대사료
82,A016920,1,4200,카스
83,A017000,1,18600,신원종합개발
84,A017250,1,1390,인터엠
85,A017480,1,6100,삼현철강
86,A017510,1,4610,세명전기
87,A017650,1,11450,대림제지
88,A017890,1,12450,한국알콜
89,A018000,1,2905,유니슨
90,A018120,1,31350,진로발효
91,A018290,1,8230,브이티지엠피
92,A018310,1,15000,삼목에스폼
93,A018620,1,2165,우진비앤지
94,A018680,1,6490,서울제약
95,A018700,1,4930,바른손
96,A019010,1,2095,베뉴지
97,A019210,1,7870,와이지-원
98,A019540,1,3475,일지테크
99,A019550,1,1775,SBI인베스트먼트
100,A019570,1,557,리더스 기술투자
101,A019590,1,1255,엠벤처투자
102,A019660,1,3895,글로본
103,A019770,1,6200,서연탑메탈
104,A019990,1,12100,에너토크
105,A020180,1,1190,대신정보통신
106,A020400,1,10150,대동금속
107,A020710,1,5990,시공테크
108,A021040,1,758,대호특수강
109,A021045,1,1495,대호특수강우
110,A021080,1,5230,에이티넘인베스트
111,A021320,1,8960,KCC건설
112,A021650,1,4395,한국큐빅
113,A021880,1,515,메이슨캐피탈
114,A022100,1,6400,포스코 ICT
115,A022220,1,2095,정산애강
116,A023160,1,11050,태광
117,A023410,1,5070,유진기업
118,A023440,1,2515,제일제강
119,A023460,1,2780,CNH
120,A023600,1,14550,삼보판지
121,A023760,1,898,한국캐피탈
122,A023770,1,12450,플레이위드
123,A023790,1,4320,동일철강
124,A023900,1,16500,풍국주정
125,A023910,1,29750,대한약품
126,A024060,1,7110,흥구석유
127,A024120,1,6640,KB오토시스
128,A024740,1,2490,한일단조
129,A024800,1,3155,유성티엔에스
130,A024810,1,1690,이화전기
131,A024830,1,6280,세원물산
132,A024840,1,1930,KBI메탈
133,A024850,1,1270,피에스엠씨
134,A024880,1,4885,케이피에프
135,A024910,1,3345,경창산업
136,A024940,1,5360,PN풍년
137,A024950,1,9290,삼천리자전거
138,A025320,1,3095,시노펙스
139,A025440,1,946,대성엘텍
140,A025550,1,4610,한국선재
141,A025770,1,9310,한국정보통신
142,A025870,1,12650,신라에스지
143,A025880,1,2870,케이씨피드
144,A025900,1,108700,동화기업
145,A025950,1,30500,동신건설
146,A025980,1,11600,아난티
147,A026040,1,4060,제이에스티나
148,A026150,1,10050,특수건설
149,A026910,1,4375,광진실업
150,A027040,1,765,서울전자통신
151,A027050,1,4075,코리아나
152,A027360,1,4235,아주IB투자
153,A027580,1,1905,상보
154,A027710,1,2555,팜스토리
155,A027830,1,3000,대성창투
156,A028080,1,4270,휴맥스홀딩스
157,A028300,1,41750,에이치엘비
158,A029480,1,1535,릭스솔루션
159,A029960,1,8900,코엔텍
160,A030190,1,19350,NICE평가정보
161,A030350,1,3555,드래곤플라이
162,A030520,1,29400,한글과컴퓨터
163,A030530,1,4975,원익홀딩스
164,A030960,1,10050,양지사
165,A031310,1,4310,아이즈비전
166,A031330,1,4680,에스에이엠티
167,A031510,1,2545,오스템
168,A031860,1,1205,엔에스엔
169,A031980,1,12050,피에스케이홀딩스
170,A032080,1,3725,아즈텍WB
171,A032190,1,15200,다우데이타
172,A032280,1,2440,삼일
173,A032300,1,47000,한국파마
174,A032500,1,38800,케이엠더블유
175,A032540,1,5330,TJ미디어
176,A032580,1,1535,피델릭스
177,A032620,1,7700,유비케어
178,A032680,1,2510,소프트센
179,A032685,1,29550,소프트센우
180,A032750,1,10250,삼진
181,A032790,1,4075,엠젠플러스
182,A032800,1,110,판타지오
183,A032820,1,1865,우리기술
184,A032850,1,8900,비트컴퓨터
185,A032860,1,4360,휴먼엔
186,A032940,1,4285,원익
187,A032960,1,14150,동일기연
188,A032980,1,1075,바이온
189,A033050,1,1205,제이엠아이
190,A033100,1,5590,제룡전기
191,A033130,1,3120,디지틀조선
192,A033160,1,21750,엠케이전자
193,A033170,1,1880,시그네틱스
194,A033200,1,7000,모아텍
195,A033230,1,3300,인성정보
196,A033290,1,8070,코웰패션
197,A033310,1,10950,엠투엔
198,A033320,1,7150,제이씨현시스템
199,A033340,1,1055,좋은사람들
200,A033500,1,11000,동성화인텍
201,A033540,1,2550,파라텍
202,A033560,1,9700,블루콤
203,A033640,1,34950,네패스
204,A033790,1,829,스카이문스테크놀로지
205,A033830,1,1185,티비씨
206,A034230,1,15500,파라다이스
207,A034810,1,14700,해성산업
208,A034940,1,3830,조아제약
209,A034950,1,81500,한국기업평가
210,A035080,1,5880,인터파크
211,A035200,1,7970,프럼파스트
212,A035290,1,0,골드앤에스
213,A035460,1,2730,기산텔레콤
214,A035600,1,18250,KG이니시스
215,A035610,1,5650,솔본
216,A035620,1,1580,바른손이앤에이
217,A035760,1,180400,CJ ENM
218,A035810,1,4135,이지홀딩스
219,A035890,1,1750,서희건설
220,A035900,1,51500,JYP Ent.
221,A036000,1,2395,예림당
222,A036010,1,10900,아비코전자
223,A036030,1,8070,케이티알파
224,A036090,1,1690,위지트
225,A036120,1,3525,SCI평가정보
226,A036170,1,1610,클라우드에어
227,A036180,1,2355,지더블유바이텍
228,A036190,1,34850,금화피에스시
229,A036200,1,14050,유니셈
230,A036480,1,15100,대성미생물
231,A036490,1,388100,SK머티리얼즈
232,A036540,1,7300,SFA반도체
233,A036560,1,9640,영풍정밀
234,A036620,1,2340,감성코퍼레이션
235,A036630,1,668,세종텔레콤
236,A036640,1,7850,HRS
237,A036670,1,9170,KCI
238,A036690,1,5190,코맥스
239,A036710,1,4380,심텍홀딩스
240,A036800,1,31200,나이스정보통신
241,A036810,1,25450,에프에스티
242,A036830,1,43250,솔브레인홀딩스
243,A036890,1,10800,진성티이씨
244,A036930,1,15200,주성엔지니어링
245,A037030,1,6030,파워넷
246,A037070,1,20900,파세코
247,A037230,1,4190,한국팩키지
248,A037330,1,3000,인지디스플레
249,A037350,1,5450,성도이엔지
250,A037370,1,13550,EG
251,A037400,1,3055,우리조명
252,A037440,1,7840,희림
253,A037460,1,12450,삼지전자
254,A037760,1,2135,쎄니트
255,A037950,1,1450,엘컴텍
256,A038010,1,10300,제일테크노스
257,A038060,1,1035,루멘스
258,A038070,1,20950,서린바이오
259,A038110,1,3110,에코플라스틱
260,A038290,1,28700,마크로젠
261,A038340,1,445,UCI
262,A038390,1,21300,레드캡투어
263,A038460,1,4770,바이오스마트
264,A038500,1,4875,삼표시멘트
265,A038530,1,1345,골드퍼시픽
266,A038540,1,7750,상상인
267,A038620,1,3410,위즈코프
